roll,name,email,enrolled,exam1,exam2,exam3,exam4
171,Vivaan Modi,vivaan.modi171@gmail.com,2026-04-28,44,75,89,86
172,Priya Desai,priya.desai172@gmail.com,2026-04-14,37,76,56,93
173,Diya Shah,diya.shah173@yahoo.com,2026-01-28,66,90,86,45
174,Isha Desai,isha.desai174@outlook.com,2026-03-28,63,77,56,44
175,Sneha Shah,sneha.shah175@outlook.com,2026-05-11,59,79,79,53
176,Neel Shah,neel.shah176@gmail.com,2026-03-07,60,57,54,44
177,Rahul Parikh,rahul.parikh177@yahoo.com,2026-05-25,92,76,75,54
178,Riya Shah,riya.shah178@yahoo.com,2026-04-24,73,70,42,80
179,Sneha Shah,sneha.shah179@yahoo.com,2026-04-29,92,39,42,82
180,Dev Shah,dev.shah180@outlook.com,2026-01-24,99,84,94,40
181,Riya Rao,riya.rao181@outlook.com,2026-02-18,76,95,99,54
182,Vivaan Parikh,vivaan.parikh182@gmail.com,2026-03-29,45,99,57,40
183,Neel Parikh,neel.parikh183@yahoo.com,2026-05-15,55,81,82,71
184,Isha Modi,isha.modi184@yahoo.com,2026-01-14,77,43,77,47
185,Kavya Modi,kavya.modi185@yahoo.com,2026-03-06,54,77,45,53
186,Diya Desai,diya.desai186@outlook.com,2026-04-11,51,45,74,83
187,Ananya Mehta,ananya.mehta187@outlook.com,2026-05-15,46,89,100,81
188,Aarav Joshi,aarav.joshi188@yahoo.com,2026-02-16,62,78,97,59
189,Neel Mehta,neel.mehta189@gmail.com,2026-01-20,72,47,99,39
190,Ananya Rao,ananya.rao190@gmail.com,2026-04-07,54,55,58,
191,Riya Patel,riya.patel191@yahoo.com,2026-04-04,65,91,71,92
192,Neel Trivedi,neel.trivedi192@gmail.com,2026-03-21,95,59,82,91
193,Riya Desai,riya.desai193@yahoo.com,2026-05-09,88,55,60,52
194,Yash Patel,yash.patel194@outlook.com,2026-05-04,82,48,50,71
195,Aditya Mehta,aditya.mehta195@yahoo.com,2026-04-26,100,53,90,46
196,Neel Parikh,neel.parikh196@yahoo.com,2026-01-07,88,41,85,99
197,Diya Choksi,diya.choksi197@yahoo.com,2026-01-21,82,63,38,75
198,Arjun Joshi,arjun.joshi198@gmail.com,2026-02-05,39,71,95,52
199,Aditi Parikh,aditi.parikh199@outlook.com,2026-01-02,45,37,67,62
200,Rohan Trivedi,rohan.trivedi200@outlook.com,2026-05-16,89,49,71,65
