rank,roll,name,email,enrolled,exam1,exam2,exam3,exam4,total,average,status
29,106,Yash Rao,yash.rao106@gmail.com,2026-02-14,95,91,70,58,314,78.5,PASS
30,163,Aditya Trivedi,aditya.trivedi163@gmail.com,2026-04-07,88,93,78,55,314,78.5,PASS
31,135,Sneha Trivedi,sneha.trivedi135@yahoo.com,2026-02-12,67,96,72,78,313,78.25,PASS
32,196,Neel Parikh,neel.parikh196@yahoo.com,2026-01-07,88,41,85,99,313,78.25,PASS
33,118,Kavya Parikh,kavya.parikh118@yahoo.com,2026-03-27,83,93,76,59,311,77.75,PASS
34,127,Aditya Rao,aditya.rao127@yahoo.com,2026-03-03,98,53,64,94,309,77.25,PASS
35,170,Isha Trivedi,isha.trivedi170@outlook.com,2026-02-28,99,80,44,85,308,77.0,PASS
36,25,Yash Parikh,yash.parikh25@gmail.com,2026-05-19,51,95,66,95,307,76.75,PASS
37,107,Meera Modi,meera.modi107@outlook.com,2026-05-06,46,95,79,87,307,76.75,PASS
38,103,Rahul Desai,rahul.desai103@outlook.com,2026-05-26,71,91,50,94,306,76.5,PASS
39,42,Ananya Choksi,ananya.choksi42@outlook.com,2026-03-09,99,97,67,41,304,76.0,PASS
40,3,Neel Trivedi,neel.trivedi3@outlook.com,2026-01-07,60,88,63,92,303,75.75,PASS
41,17,Riya Patel,riya.patel17@outlook.com,2026-03-09,99,57,99,48,303,75.75,PASS
42,83,Nisha Trivedi,nisha.trivedi83@yahoo.com,2026-04-30,90,69,76,66,301,75.25,PASS
43,130,Karan Modi,karan.modi130@yahoo.com,2026-01-28,65,83,80,72,300,75.0,PASS
44,161,Nisha Desai,nisha.desai161@gmail.com,2026-02-16,69,74,78,79,300,75.0,PASS
45,8,Aditya Choksi,aditya.choksi8@gmail.com,2026-04-08,70,93,81,55,299,74.75,PASS
46,22,Dev Modi,dev.modi22@outlook.com,2026-04-06,91,92,50,66,299,74.75,PASS
47,77,Aditi Shah,aditi.shah77@outlook.com,2026-02-25,94,67,82,56,299,74.75,PASS
48,65,Rahul Parikh,rahul.parikh65@yahoo.com,2026-03-08,66,70,97,65,298,74.5,PASS
49,119,Neel Rao,neel.rao119@yahoo.com,2026-03-01,87,40,75,95,297,74.25,PASS
50,139,Nisha Trivedi,nisha.trivedi139@yahoo.com,2026-02-26,43,94,73,87,297,74.25,PASS
51,177,Rahul Parikh,rahul.parikh177@yahoo.com,2026-05-25,92,76,75,54,297,74.25,PASS
52,169,Dev Joshi,dev.joshi169@gmail.com,2026-01-02,98,90,57,51,296,74.0,PASS
53,188,Aarav Joshi,aarav.joshi188@yahoo.com,2026-02-16,62,78,97,59,296,74.0,PASS
54,49,Arjun Modi,arjun.modi49@gmail.com,2026-05-01,63,60,93,79,295,73.75,PASS
55,69,Priya Modi,priya.modi69@outlook.com,2026-01-06,83,96,35,80,294,73.5,PASS
56,171,Vivaan Modi,vivaan.modi171@gmail.com,2026-04-28,44,75,89,86,294,73.5,PASS
57,59,Sneha Parikh,sneha.parikh59@outlook.com,2026-02-13,45,71,100,77,293,73.25,PASS
58,84,Aditya Desai,aditya.desai84@yahoo.com,2026-03-04,94,83,78,38,293,73.25,PASS
59,137,Isha Patel,isha.patel137@yahoo.com,2026-05-18,50,93,82,68,293,73.25,PASS
60,36,Meera Rao,meera.rao36@gmail.com,2026-01-21,88,75,68,61,292,73.0,PASS
61,37,Ananya Choksi,ananya.choksi37@yahoo.com,2026-04-12,51,73,93,75,292,73.0,PASS
62,50,Dev Choksi,dev.choksi50@gmail.com,2026-01-07,59,86,77,70,292,73.0,PASS
63,70,Dev Modi,dev.modi70@yahoo.com,2026-05-18,63,97,63,69,292,73.0,PASS
64,4,Meera Desai,meera.desai4@gmail.com,2026-02-10,89,78,70,54,291,72.75,PASS
65,28,Neel Choksi,neel.choksi28@gmail.com,2026-05-18,92,52,89,58,291,72.75,PASS
66,140,Arjun Mehta,arjun.mehta140@gmail.com,2026-01-10,73,98,,47,218,72.67,PASS
67,80,Arjun Desai,arjun.desai80@outlook.com,2026-01-31,40,79,89,82,290,72.5,PASS
68,166,Nisha Parikh,nisha.parikh166@yahoo.com,2026-03-11,62,100,49,79,290,72.5,PASS
69,5,Karan Joshi,karan.joshi5@gmail.com,2026-01-24,83,47,80,79,289,72.25,PASS
70,73,Rohan Parikh,rohan.parikh73@gmail.com,2026-01-13,68,83,76,62,289,72.25,PASS
71,115,Priya Parikh,priya.parikh115@yahoo.com,2026-03-04,93,53,84,59,289,72.25,PASS
72,183,Neel Parikh,neel.parikh183@yahoo.com,2026-05-15,55,81,82,71,289,72.25,PASS
73,195,Aditya Mehta,aditya.mehta195@yahoo.com,2026-04-26,100,53,90,46,289,72.25,PASS
74,85,Aditi Joshi,aditi.joshi85@gmail.com,2026-05-05,62,80,68,78,288,72.0,PASS
75,120,Isha Modi,isha.modi120gmail.com,2026-02-08,98,39,51,99,287,71.75,PASS
76,173,Diya Shah,diya.shah173@yahoo.com,2026-01-28,66,90,86,45,287,71.75,PASS
77,24,Vivaan Choksi,vivaan.choksi24@gmail.com,2026-01-09,77,44,100,65,286,71.5,PASS
78,66,Yash Parikh,yash.parikh66@gmail.com,2026-03-15,65,69,77,75,286,71.5,PASS
79,155,Ananya Parikh,ananya.parikh155@yahoo.com,2026-04-17,47,75,89,75,286,71.5,PASS
80,68,Aditya Modi,aditya.modi68@yahoo.com,2026-03-26,94,88,42,61,285,71.25,PASS
81,56,Ananya Modi,ananya.modi56@outlook.com,2026-03-17,51,59,88,83,281,70.25,PASS
82,109,Dev Modi,dev.modi109@outlook.com,2026-01-10,93,46,75,67,281,70.25,PASS
83,15,Priya Rao,priya.rao15@gmail.com,2026-04-09,83,94,67,36,280,70.0,PASS
84,21,Rohan Parikh,rohan.parikh21@outlook.com,2026-02-12,68,89,62,60,279,69.75,PASS
85,116,Nisha Trivedi,nisha.trivedi116@outlook.com,2026-02-04,43,70,88,78,279,69.75,PASS
86,48,Aarav Mehta,aarav.mehta48@outlook.com,2026-03-27,87,66,69,55,277,69.25,PASS
87,122,Priya Mehta,priya.mehta122@gmail.com,2026-05-01,68,78,85,45,276,69.0,PASS
88,124,Dev Choksi,dev.choksi124@outlook.com,2026-01-24,90,47,47,91,275,68.75,PASS
89,136,Arjun Parikh,arjun.parikh136@gmail.com,2026-02-06,63,85,81,46,275,68.75,PASS
90,39,Yash Mehta,yash.mehta39@yahoo.com,2026-01-18,66,82,71,55,274,68.5,PASS
91,54,Vivaan Modi,vivaan.modi54@gmail.com,2026-05-14,60,81,90,43,274,68.5,PASS
92,104,Dev Modi,dev.modi104@yahoo.com,2026-05-09,98,91,45,40,274,68.5,PASS
93,200,Rohan Trivedi,rohan.trivedi200@outlook.com,2026-05-16,89,49,71,65,274,68.5,PASS
94,74,Riya Joshi,riya.joshi74@yahoo.com,2026-04-08,70,88,67,45,270,67.5,PASS
95,82,Priya Joshi,priya.joshi82@outlook.com,2026-04-28,54,90,57,69,270,67.5,PASS
96,125,Rahul Desai,rahul.desai125@gmail.com,2026-01-12,76,42,72,80,270,67.5,PASS
97,175,Sneha Shah,sneha.shah175@outlook.com,2026-05-11,59,79,79,53,270,67.5,PASS
98,19,Nisha Joshi,nisha.joshi19@yahoo.com,2026-01-05,49,81,74,65,269,67.25,PASS
99,81,Aditya Trivedi,aditya.trivedi81@outlook.com,2026-03-29,36,88,97,48,269,67.25,PASS
100,150,Meera Shah,meera.shah150@yahoo.com,2026-05-09,63,40,73,93,269,67.25,PASS
101,94,Meera Desai,meera.desai94@yahoo.com,2026-05-03,91,78,58,41,268,67.0,PASS
102,95,Yash Parikh,yash.parikh95@gmail.com,2026-01-17,86,97,44,41,268,67.0,PASS
103,35,Rahul Shah,rahul.shah35@outlook.com,2026-01-18,65,86,50,66,267,66.75,PASS
104,16,Arjun Trivedi,arjun.trivedi16@yahoo.com,2026-03-29,49,72,90,55,266,66.5,PASS
105,101,Dev Parikh,dev.parikh101@gmail.com,2026-03-01,68,60,89,49,266,66.5,PASS
106,158,Priya Joshi,priya.joshi158@outlook.com,2026-04-19,41,71,74,80,266,66.5,PASS
107,57,Rahul Rao,rahul.rao57@outlook.com,2026-03-19,86,35,73,71,265,66.25,PASS
108,178,Riya Shah,riya.shah178@yahoo.com,2026-04-24,73,70,42,80,265,66.25,PASS
109,47,Kavya Modi,kavya.modi47@outlook.com,2026-02-09,65,55,57,87,264,66.0,PASS
110,67,Kavya Shah,kavya.shah67@gmail.com,2026-02-08,64,84,54,62,264,66.0,PASS
111,128,Yash Parikh,yash.parikh128@yahoo.com,2026-01-03,94,71,55,44,264,66.0,PASS
112,111,Karan Trivedi,karan.trivedi111@yahoo.com,2026-05-08,91,41,61,69,262,65.5,PASS
113,167,Priya Shah,priya.shah167@yahoo.com,2026-05-05,74,40,63,85,262,65.5,PASS
114,172,Priya Desai,priya.desai172@gmail.com,2026-04-14,37,76,56,93,262,65.5,PASS
115,63,Rahul Trivedi,rahul.trivedi63@yahoo.com,2026-01-13,66,50,93,52,261,65.25,PASS
116,159,Arjun Rao,arjun.rao159@outlook.com,2026-02-24,54,96,63,48,261,65.25,PASS
117,160,Diya Trivedi,diya.trivedi160@yahoo.com,2026-01-30,70,63,89,38,260,65.0,PASS
118,53,Ananya Modi,ananya.modi53@outlook.com,2026-05-11,49,84,59,67,259,64.75,PASS
119,126,Diya Modi,diya.modi126@gmail.com,2026-03-04,87,58,56,57,258,64.5,PASS
120,197,Diya Choksi,diya.choksi197@yahoo.com,2026-01-21,82,63,38,75,258,64.5,PASS
121,72,Rohan Rao,rohan.rao72@outlook.com,2026-01-07,85,38,45,89,257,64.25,PASS
122,110,Ananya Shah,ananya.shah110@yahoo.com,2026-05-12,35,94,87,41,257,64.25,PASS
123,189,Neel Mehta,neel.mehta189@gmail.com,2026-01-20,72,47,99,39,257,64.25,PASS
124,198,Arjun Joshi,arjun.joshi198@gmail.com,2026-02-05,39,71,95,52,257,64.25,PASS
125,52,Yash Mehta,yash.mehta52@outlook.com,2026-03-09,39,48,90,79,256,64.0,PASS
126,41,Yash Shah,yash.shah41@gmail.com,2026-05-22,54,69,71,61,255,63.75,PASS
127,46,Dev Joshi,dev.joshi46@gmail.com,2026-04-02,61,66,48,80,255,63.75,PASS
128,79,Dev Rao,dev.rao79@outlook.com,2026-04-07,85,60,44,66,255,63.75,PASS
129,179,Sneha Shah,sneha.shah179@yahoo.com,2026-04-29,92,39,42,82,255,63.75,PASS
130,193,Riya Desai,riya.desai193@yahoo.com,2026-05-09,88,55,60,52,255,63.75,PASS
131,27,Riya Patel,riya.patel27@outlook.com,2026-01-26,42,86,78,48,254,63.5,PASS
132,168,Nisha Patel,nisha.patel168@gmail.com,2026-02-22,73,62,52,67,254,63.5,PASS
133,142,Priya Shah,priya.shah142@yahoo.com,2026-04-15,70,39,82,62,253,63.25,PASS
134,186,Diya Desai,diya.desai186@outlook.com,2026-04-11,51,45,74,83,253,63.25,PASS
135,38,Aditya Patel,aditya.patel38@yahoo.com,2026-05-25,47,44,62,99,252,63.0,PASS
136,143,Riya Parikh,riya.parikh143@gmail.com,2026-04-03,47,82,80,42,251,62.75,PASS
137,194,Yash Patel,yash.patel194@outlook.com,2026-05-04,82,48,50,71,251,62.75,PASS
138,6,Nisha Desai,nisha.desai6@gmail.com,2026-04-28,50,83,45,72,250,62.5,PASS
139,51,Aditya Desai,aditya.desai51@yahoo.com,2026-05-11,86,77,38,49,250,62.5,PASS
140,112,Kavya Mehta,kavya.mehta112@yahoo.com,2026-04-23,97,50,38,65,250,62.5,PASS
141,96,Rohan Mehta,rohan.mehta96@outlook.com,2026-03-19,45,66,50,88,249,62.25,PASS
142,134,Dev Joshi,dev.joshi134@outlook.com,2026-04-17,57,60,51,81,249,62.25,PASS
143,148,Meera Joshi,meera.joshi148@gmail.com,2026-02-14,68,41,51,88,248,62.0,PASS
144,32,Priya Trivedi,priya.trivedi32@outlook.com,2026-05-05,54,59,72,62,247,61.75,PASS
145,91,Karan Choksi,karan.choksi91@outlook.com,2026-05-04,70,71,47,59,247,61.75,PASS
146,75,Aditi Patel,aditi.patel75@outlook.com,2026-05-19,,79,63,43,185,61.67,PASS
147,100,Priya Parikh,priya.parikh100@outlook.com,2026-05-01,72,39,64,71,246,61.5,PASS
148,10,Riya Modi,riya.modi10@yahoo.com,2026-05-23,63,76,42,64,245,61.25,PASS
149,113,Rahul Desai,rahul.desai113@outlook.com,2026-01-04,87,46,63,49,245,61.25,PASS
150,131,Dev Patel,dev.patel131@outlook.com,2026-04-12,70,36,41,98,245,61.25,PASS
151,138,Meera Modi,meera.modi138@outlook.com,2026-04-06,48,64,95,38,245,61.25,PASS
152,123,Ananya Trivedi,ananya.trivedi123@yahoo.com,2026-03-23,97,39,43,65,244,61.0,PASS
153,184,Isha Modi,isha.modi184@yahoo.com,2026-01-14,77,43,77,47,244,61.0,PASS
154,11,Vivaan Joshi,vivaan.joshi11@yahoo.com,2026-03-10,43,62,75,62,242,60.5,PASS
155,34,Meera Parikh,meera.parikh34@outlook.com,2026-05-16,55,42,100,45,242,60.5,PASS
156,90,Dev Desai,dev.desai90@gmail.com,2026-01-31,59,75,50,58,242,60.5,PASS
157,132,Dev Choksi,dev.choksi132@outlook.com,2026-04-01,63,59,67,52,241,60.25,PASS
158,146,Neel Joshi,neel.joshi146@gmail.com,2026-01-01,70,53,51,67,241,60.25,PASS
159,182,Vivaan Parikh,vivaan.parikh182@gmail.com,2026-03-29,45,99,57,40,241,60.25,PASS
160,152,Aditya Shah,aditya.shah152@yahoo.com,2026-02-07,43,51,70,76,240,60.0,PASS
161,174,Isha Desai,isha.desai174@outlook.com,2026-03-28,63,77,56,44,240,60.0,PASS
162,12,Aditi Modi,aditi.modi12@outlook.com,2026-04-28,53,68,52,66,239,59.75,PASS
163,144,Isha Desai,isha.desai144@gmail.com,2026-02-01,93,46,62,37,238,59.5,PASS
164,20,Vivaan Choksi,vivaan.choksi20@outlook.com,2026-01-21,45,97,43,51,236,59.0,PASS
165,62,Aditi Modi,aditi.modi62@gmail.com,2026-02-07,35,48,89,63,235,58.75,PASS
166,45,Kavya Patel,kavya.patel45@yahoo.com,2026-05-30,53,90,51,40,234,58.5,PASS
167,93,Vivaan Patel,vivaan.patel93@outlook.com,2026-03-16,51,97,48,36,232,58.0,PASS
168,147,Rahul Shah,rahul.shah147@outlook.com,2026-01-07,51,36,80,65,232,58.0,PASS
169,43,Aditya Modi,aditya.modi43@yahoo.com,2026-01-12,35,77,51,68,231,57.75,PASS
170,92,Dev Choksi,dev.choksi92@yahoo.com,2026-02-15,73,36,51,70,230,57.5,PASS
171,1,Arjun Patel,arjun.patel1@outlook.com,2026-03-12,66,63,52,48,229,57.25,PASS
172,121,Meera Joshi,meera.joshi121@gmail.com,2026-04-23,47,93,36,53,229,57.25,PASS
173,185,Kavya Modi,kavya.modi185@yahoo.com,2026-03-06,54,77,45,53,229,57.25,PASS
174,145,Vivaan Joshi,vivaan.joshi145@gmail.com,2026-02-02,61,43,61,62,227,56.75,PASS
175,18,Dev Trivedi,dev.trivedi18@outlook.com,2026-02-20,54,82,55,35,226,56.5,PASS
176,190,Ananya Rao,ananya.rao190@gmail.com,2026-04-07,54,55,58,,167,55.67,PASS
177,9,Diya Joshi,diya.joshi9@gmail.com,2026-03-10,44,56,66,55,221,55.25,PASS
178,157,Priya Shah,priya.shah157@outlook.com,2026-04-06,51,42,77,50,220,55.0,PASS
179,162,Aarav Mehta,aarav.mehta162@gmail.com,2026-05-25,86,43,53,38,220,55.0,PASS
180,7,Nisha Joshi,nisha.joshi7@outlook.com,2026-02-19,43,40,64,72,219,54.75,PASS
181,133,Arjun Patel,arjun.patel133@yahoo.com,2026-04-23,39,81,51,46,217,54.25,PASS
182,29,Yash Parikh,yash.parikh29@gmail.com,2026-01-20,91,47,41,36,215,53.75,PASS
183,78,Nisha Rao,nisha.rao78@outlook.com,2026-01-30,55,74,48,38,215,53.75,PASS
184,176,Neel Shah,neel.shah176@gmail.com,2026-03-07,60,57,54,44,215,53.75,PASS
185,60,Aditya Choksi,aditya.choksi60@outlook.com,2026-03-21,63,60,53,38,214,53.5,PASS
186,98,Meera Modi,meera.modi98@yahoo.com,2026-05-26,42,47,61,62,212,53.0,PASS
187,199,Aditi Parikh,aditi.parikh199@outlook.com,2026-01-02,45,37,67,62,211,52.75,PASS
188,40,Riya Trivedi,riya.trivedi40@gmail,2026-03-19,36,73,48,52,209,52.25,PASS
189,102,Kavya Choksi,kavya.choksi102@outlook.com,2026-02-08,69,53,44,42,208,52.0,PASS
190,76,Vivaan Patel,vivaan.patel76@gmail.com,2026-02-21,37,54,65,51,207,51.75,PASS
191,23,Neel Shah,neel.shah23@yahoo.com,2026-01-06,64,63,35,44,206,51.5,PASS
192,86,Yash Rao,yash.rao86@outlook.com,2026-03-12,36,59,45,65,205,51.25,PASS
193,33,Vivaan Rao,vivaan.rao33@outlook.com,2026-05-19,42,75,42,41,200,50.0,PASS
194,14,Rohan Trivedi,rohan.trivedi14@yahoo.com,2026-01-24,41,49,54,55,199,49.75,PASS
195,164,Diya Desai,diya.desai164@outlook.com,2026-03-25,45,41,54,55,195,48.75,PASS
196,99,Yash Shah,yash.shah99@gmail.com,2026-03-03,57,44,55,35,191,47.75,PASS
197,2,Kavya Shah,kavya.shah2@outlook.com,2026-04-19,39,38,46,62,185,46.25,PASS
198,105,Priya Joshi,priya.joshi105@outlook.com,2026-03-06,38,46,64,37,185,46.25,PASS
199,44,Rahul Parikh,rahul.parikh44@outlook.com,2026-04-20,36,49,44,54,183,45.75,PASS
200,156,Yash Joshi,yash.joshi156@gmail.com,2026-05-02,43,46,45,46,180,45.0,PASS
